73929,PHD QUALIFYING EXAM,RE-GY,9990,
224728,Computer Science Bridge Program,CSBR-NY,1,
73041,Global Opportunities,IS-UY,GLOP,
231234,UNDERGRADUATE GUIDED STUDIES IN COMPUTER SCIENCE,CS-UY,410X,"Students work on an individual basis under the supervision of a full-time faculty member in the department. With permission of the department, such students may substitute two semesters of this course for Software Engineering and Design Project requirements.| Prerequisite: Permission of the instructor and the department."
227454,Independent Research,ENGR-NY,13,
233272,"Advanced Seminar in Culture, Arts and Media",CAM-UY,4504,"The Advanced Seminar is a writing- and research-intensive course that will explore in-depth a topic in Technology, Culture, and Society, requiring practice of both writing and research skills.  Topics vary by section; see Albert for detailed topic descriptions. | Prerequisite: EXPOS-1 and one TCS elective course"
73270,GUIDED STD IN ELEC ENGR,ECE-GY,6015,
226965,Honors Linear Algebra,MA-UY,3054,"This honors section of Linear Algebra is intended for well-prepared students who have already developed some mathematical maturity. Its scope will include the usual Linear Algebra (MA-UY 3044) syllabus; however, this class will move faster, covering additional topics and going deeper. Vector spaces, linear dependence, basis and dimension, matrices, determinants, solving linear equations, eigenvalues and eigenvectors, quadratic forms, applications such as optimization or linear regression. Note: Not open to students who have already taken MA-UY 1533, MA-UY 2034, MA-UY 3044 or MA-UY 3113.  | Prerequisites: A- or better in MA-UY 1024 or MA-UY 1324 or MA-UY 1022"
234610,General Chemistry for Engineers Laboratory,CM-UY,1001,"This is a one-semester introductory laboratory course in general chemistry. It covers chemical equations, stoichiometry, thermodynamics, gases, atomic and molecular structure, periodic table, chemical bonding, states of matter, chemical equilibrium, organic, inorganic and polymeric materials and electrochemistry. It is a foundation course for most engineering and science majors. | Co-requisites: CM-UY 1003"
74625,OPTIONS PRICING & STOCHASTIC CALCULUS,FRE-GY,6233,"This course provides the mathematical foundations of Option Pricing models.  The techniques covered include arithmetic and geometric Brownian motion, first passage time, the reflection principle, the stochastic Ito integral, Ito differential Calculus, change of probability measure, martingales, Stochastic Differential Equations and Partial Differential Equations.  Some of the pricing models considered are the European, Barrier, Asian and American options.  These problems are either solved analytically by the martingale approach or numerically, by applying approximation and simulation methods.  Since the same techniques allow the treatment of more complex financial products, examples of credit derivatives will be also presented.  This course is a requirement in the Computational Finance Track | Prerequisite: FRE-GY 6083"
